"team_year_id","year","team","sp_rating","conference","offense_ranking","offense_rating","defense_ranking","defense_rating","expected_wins","total_games","total_wins","total_losses","talent_rating","recruiting_rank","recruiting_points"
"2016Hawai'i",2016,"Hawai'i",-10.1,"Mountain West",71,28.6,123,40.8,6.7,14,7,7,384.97,108,111.87
"2016SMU",2016,"SMU",-10.8,"American Athletic",99,24.3,89,32.6,5.8,12,5,7,474.03,75,152.27
"2016Purdue",2016,"Purdue",-11,"Big Ten",91,25.1,102,35.6,1.9,12,3,9,512.72,80,145.09
"2016UTSA",2016,"UTSA",-11.2,"Conference USA",104,22.7,95,33.6,6.4,13,6,7,397.64,103,120.32
"2016UConn",2016,"UConn",-11.6,"American Athletic",117,19.8,82,30.9,3,12,3,9,423.56,99,126.83
"2016Kent State",2016,"Kent State",-12,"Mid-American",125,16.6,54,27.4,4.4,12,3,9,334.01,131,82.77
"2016Georgia State",2016,"Georgia State",-12.1,"Sun Belt",122,17.3,49,26.7,4.1,12,3,9,321.79,127,96.32
"2016Marshall",2016,"Marshall",-12.7,"Conference USA",97,24.6,103,35.8,3.1,12,3,9,485.46,51,176.55
"2016Nevada",2016,"Nevada",-13,"Mountain West",85,26.2,117,37.9,4.4,12,5,7,389.56,105,118.76
"2016San José State",2016,"San José State",-13.6,"Mountain West",107,22.4,108,36.7,3.7,12,4,8,437.36,84,137.84
"2016Florida Atlantic",2016,"Florida Atlantic",-14.1,"Conference USA",69,28.7,127,43.5,3.4,12,3,9,408.4,89,132.74
"2016UNLV",2016,"UNLV",-14.3,"Mountain West",83,26.7,121,40.4,4.4,12,4,8,376.26,81,142.78
"2016Tulane",2016,"Tulane",-14.6,"American Athletic",127,15.7,66,28.4,4.2,12,4,8,388.04,97,127.78
"2016North Texas",2016,"North Texas",-14.6,"Conference USA",110,22,114,37.5,5,13,5,8,351.58,102,122.36
"2016Rutgers",2016,"Rutgers",-14.9,"Big Ten",122,17.3,79,29.9,3.3,12,2,10,585.47,64,163.8
"2016Massachusetts",2016,"Massachusetts",-15.3,"FBS Independents",101,23.7,108,36.7,2.2,12,2,10,370.9,86,136.04
"2016Kansas",2016,"Kansas",-15.9,"Big 12",114,21,104,36,2.2,12,2,10,491,70,159.19
"2016UTEP",2016,"UTEP",-16.1,"Conference USA",93,25,122,40.6,3.3,12,4,8,290.4,125,99.39
"2016Rice",2016,"Rice",-16.5,"Conference USA",103,22.8,118,38.6,3.6,12,3,9,394.83,129,93.86
"2016Fresno State",2016,"Fresno State",-16.9,"Mountain West",126,16.4,96,33.9,1.6,12,1,11,404.97,85,137.22
"2016New Mexico State",2016,"New Mexico State",-17.2,"Sun Belt",102,23.2,120,39.5,2.9,12,3,9,267.66,128,94.49
"2016Buffalo",2016,"Buffalo",-18.8,"Mid-American",124,16.8,94,33.5,2.3,12,2,10,343.64,118,107.51
"2016Florida International",2016,"Florida International",-19,"Conference USA",93,25,125,42.2,4,12,4,8,362.84,104,119.8
"2016Charlotte",2016,"Charlotte",-20.9,"Conference USA",121,17.6,111,36.9,4.9,12,4,8,330.55,119,106.83
"2016UL Monroe",2016,"UL Monroe",-21.3,"Sun Belt",115,20.4,124,41.5,4.1,12,4,8,322.82,124,99.51
"2016Texas State",2016,"Texas State",-25.5,"Sun Belt",120,18.4,126,42.5,1.2,12,2,10,351.76,110,111.71
"2017Alabama",2017,"Alabama",33.5,"SEC",11,38.7,1,5.6,12.8,14,13,1,997.57,1,323.87
"2017Ohio State",2017,"Ohio State",30.9,"Big Ten",3,42.9,7,12.8,11.5,14,12,2,959.12,2,312.14
"2017Wisconsin",2017,"Wisconsin",26.8,"Big Ten",18,37.4,4,11.6,13,14,13,1,639.76,39,193.87
"2017Georgia",2017,"Georgia",26.7,"SEC",7,39.6,12,15.4,12.3,15,13,2,930.34,3,301.6
"2017Clemson",2017,"Clemson",26.4,"ACC",20,36.5,2,8.3,11.5,14,12,2,853.65,16,238.91
"2017Penn State",2017,"Penn State",26,"Big Ten",5,41.5,10,14.9,10.5,13,11,2,779.26,15,240.47
"2017Oklahoma",2017,"Oklahoma",25.5,"Big 12",1,49.8,43,24.2,12.4,14,12,2,801.67,8,270.79
"2017Auburn",2017,"Auburn",24.7,"SEC",25,35.4,3,11,9.7,14,10,4,867.43,9,255.92
"2017Florida State",2017,"Florida State",22.8,"ACC",37,33.3,6,12.5,6.7,13,7,6,924.97,6,292.88
"2017Washington",2017,"Washington",22.1,"Pac-12",8,39.4,13,16.3,10.1,13,10,3,706.52,22,224.74
"2017LSU",2017,"LSU",21.1,"SEC",23,35.6,8,14,9.3,13,9,4,907.1,7,287.66
"2017Notre Dame",2017,"Notre Dame",20.8,"FBS Independents",18,37.4,15,16.9,9.2,13,10,3,837.71,10,251.32
"2017Michigan",2017,"Michigan",19.6,"Big Ten",49,31.1,5,11.8,8,13,8,5,874.28,5,296.03
"2017Louisville",2017,"Louisville",19.2,"ACC",2,43.3,47,24.9,9.1,13,8,5,640.98,34,205.15
"2017Oklahoma State",2017,"Oklahoma State",19.1,"Big 12",4,42.2,35,23,11.1,13,10,3,633.57,38,194.18
"2017TCU",2017,"TCU",18.9,"Big 12",21,35.7,19,18.7,10.6,14,11,3,672.81,28,210.03
"2017USC",2017,"USC",17.9,"Pac-12",12,38.5,24,20,9.4,14,11,3,934,4,297.1
"2017Miami",2017,"Miami",17.4,"ACC",27,35.3,16,17,8.6,13,10,3,749.08,12,248.67
"2017Mississippi State",2017,"Mississippi State",16,"SEC",40,32.4,18,18.1,9.5,13,9,4,701.06,24,220.22
"2017Stanford",2017,"Stanford",15.8,"Pac-12",16,37.7,44,24.5,7.9,14,9,5,810.31,14,246.79
"2017Virginia Tech",2017,"Virginia Tech",14.3,"ACC",71,27.8,9,14.4,8.9,13,9,4,662.18,26,217.74
"2017UCF",2017,"UCF",14.1,"American Athletic",6,40.5,63,26.9,11.1,13,13,0,571.52,55,178.34
"2017Michigan State",2017,"Michigan State",13.8,"Big Ten",72,27.7,11,15.1,9.4,13,10,3,680.94,36,203.65
"2017NC State",2017,"NC State",12.9,"ACC",15,38,37,23.3,9.5,13,9,4,609.76,53,180.46
"2017Utah",2017,"Utah",12,"Pac-12",53,30.6,26,20.5,7.4,13,7,6,630.95,33,205.78
"2017Ole Miss",2017,"Ole Miss",11.6,"SEC",10,38.9,76,28.8,5.6,12,6,6,795.7,31,207.63
"2017Northwestern",2017,"Northwestern",11.2,"Big Ten",59,28.8,17,17.4,8.5,13,10,3,627.54,50,182.07
"2017Missouri",2017,"Missouri",11.1,"SEC",24,35.5,60,26.4,7.5,13,7,6,623.33,43,187.71
"2017Kansas State",2017,"Kansas State",10.9,"Big 12",32,34.4,59,26.1,6.4,13,8,5,517.85,61,169.37
"2017Texas",2017,"Texas",10.6,"Big 12",80,26.7,13,16.3,7.5,13,7,6,811.03,25,217.76
"2017Wake Forest",2017,"Wake Forest",10.5,"ACC",21,35.7,49,25.1,7.8,13,8,5,527.21,68,161.99
"2017Indiana",2017,"Indiana",10.2,"Big Ten",63,28.6,25,20.2,5.6,12,5,7,547.92,62,167.99
"2017South Florida",2017,"South Florida",10.2,"American Athletic",47,31.6,29,21.2,10.1,12,10,2,554.17,76,150.65
"2017Florida",2017,"Florida",10.1,"SEC",51,30.8,33,22.4,3.6,11,4,7,793.83,11,251.23
"2017Iowa",2017,"Iowa",9.8,"Big Ten",69,28.4,21,19.4,7.9,13,8,5,592.95,41,191.44
"2017Texas A&M",2017,"Texas A&M",9.4,"SEC",38,33.1,52,25.2,6.5,13,7,6,807.27,13,248.58
"2017Oregon",2017,"Oregon",9.1,"Pac-12",28,35,49,25.1,7.4,13,7,6,720.23,19,230.04
"2017Boise State",2017,"Boise State",9.1,"Mountain West",63,28.6,26,20.5,10.9,14,11,3,501.53,64,167.43
"2017Georgia Tech",2017,"Georgia Tech",8.9,"ACC",29,34.9,49,25.1,5.9,11,5,6,574.35,48,184.4
"2017Washington State",2017,"Washington State",8.6,"Pac-12",50,30.9,30,22.1,8,13,9,4,549.42,44,186.45
"2017South Carolina",2017,"South Carolina",7.8,"SEC",69,28.4,22,19.7,7.7,13,9,4,702.52,21,227.58
"2017Memphis",2017,"Memphis",7.8,"American Athletic",17,37.6,85,30.6,9.1,13,10,3,504.49,56,177.6
"2017Houston",2017,"Houston",7.7,"American Athletic",41,32.3,56,25.8,8.3,12,7,5,558.72,69,160.34
"2017Iowa State",2017,"Iowa State",7.5,"Big 12",13,38.2,87,30.7,8.5,13,8,5,559.34,52,180.53
"2017Toledo",2017,"Toledo",6.6,"Mid-American",44,32.2,54,25.7,9.8,14,11,3,366.47,78,146.6
"2017Duke",2017,"Duke",6.1,"ACC",87,25.5,20,19.2,7.4,13,7,6,627.62,47,184.46
"2017Pittsburgh",2017,"Pittsburgh",6,"ACC",48,31.4,48,25,6,12,5,7,660.36,37,202.12
"2017Purdue",2017,"Purdue",5.8,"Big Ten",63,28.6,30,22.1,7.4,13,7,6,502.71,72,158.89
"2017West Virginia",2017,"West Virginia",5.6,"Big 12",36,33.6,65,27.2,5.9,13,7,6,613.18,57,174.68
"2017Florida Atlantic",2017,"Florida Atlantic",5.1,"Conference USA",30,34.7,88,31.3,10.8,14,11,3,470.88,60,171.18
"2017UCLA",2017,"UCLA",4.9,"Pac-12",9,39.3,103,34.5,6.4,13,6,7,830.58,20,229.13
"2017Texas Tech",2017,"Texas Tech",4.8,"Big 12",32,34.4,70,28.3,5.3,13,6,7,574.93,49,183.07
"2017Boston College",2017,"Boston College",4.6,"ACC",89,25.2,23,19.9,6.9,13,7,6,535.21,67,162.61
"2017San Diego State",2017,"San Diego State",4.5,"Mountain West",67,28.5,45,24.8,9.1,13,10,3,419.43,77,149.69
"2017North Carolina",2017,"North Carolina",4.3,"ACC",56,29.3,58,25.9,4.1,12,3,9,697.54,29,207.81
"2017Syracuse",2017,"Syracuse",4,"ACC",56,29.3,66,27.3,5.1,12,4,8,539.6,54,180.08
"2017Colorado State",2017,"Colorado State",3.9,"Mountain West",31,34.6,95,32.7,7.3,13,7,6,441.98,73,158.09
"2017App State",2017,"App State",3.8,"Sun Belt",55,29.5,45,24.8,9.4,13,9,4,335.87,107,116.78
"2017Arizona",2017,"Arizona",3.7,"Pac-12",14,38.1,99,33.9,7.2,13,7,6,607.31,45,185.88
"2017Ohio",2017,"Ohio",3.3,"Mid-American",44,32.2,85,30.6,10,13,9,4,326.14,103,120.83
"2017Kentucky",2017,"Kentucky",2.7,"SEC",51,30.8,80,29.5,7.3,13,7,6,671.45,30,207.73
"2017Nebraska",2017,"Nebraska",2.5,"Big Ten",85,25.6,40,23.7,3.4,12,4,8,693.46,23,224.33
"2017Arkansas",2017,"Arkansas",2.1,"SEC",34,34.1,90,31.8,4.8,12,4,8,717.01,27,212.74
"2017Colorado",2017,"Colorado",2,"Pac-12",54,30.3,84,30.1,4.9,12,5,7,568.59,35,203.78
"2017Troy",2017,"Troy",1.6,"Sun Belt",73,27.5,39,23.5,9.3,13,11,2,352.1,96,123.9
"2017Arkansas State",2017,"Arkansas State",1.5,"Sun Belt",56,29.3,74,28.6,9.4,12,7,5,436.05,111,114.91
"2017Tennessee",2017,"Tennessee",1.2,"SEC",83,25.8,54,25.7,3.4,12,4,8,817.34,17,237.21
"2017Arizona State",2017,"Arizona State",1,"Pac-12",35,33.9,98,33.1,7.7,13,7,6,720.44,32,206.68
"2017Virginia",2017,"Virginia",0.8,"ACC",91,25,37,23.3,5.8,13,6,7,603.88,58,172.5
"2017Vanderbilt",2017,"Vanderbilt",0.6,"SEC",41,32.3,77,29,5.1,12,5,7,607.68,65,167.42
"2017Temple",2017,"Temple",0.5,"American Athletic",90,25.1,42,24.1,7.1,13,7,6,468.29,119,108.13
"2017Minnesota",2017,"Minnesota",0.4,"Big Ten",100,23.9,30,22.1,4.9,12,5,7,543.8,59,171.42
"2017Navy",2017,"Navy",-0.7,"American Athletic",39,32.5,92,32.1,6.1,13,7,6,376.2,88,131.73
"2017California",2017,"California",-1,"Pac-12",62,28.7,81,29.9,5.4,12,5,7,603.06,70,159.53
"2017Baylor",2017,"Baylor",-1.4,"Big 12",78,26.9,77,29,3,12,1,11,657.22,40,193.36
"2017Northern Illinois",2017,"Northern Illinois",-1.4,"Mid-American",111,21,26,20.5,8,13,8,5,373.99,97,122.74
"2017Miami (OH)",2017,"Miami (OH)",-2.2,"Mid-American",96,24.2,63,26.9,7.1,12,5,7,413.24,94,126.73
"2017Western Michigan",2017,"Western Michigan",-2.4,"Mid-American",84,25.7,73,28.4,6.3,12,6,6,414.35,89,129.94
"2017Wyoming",2017,"Wyoming",-2.5,"Mountain West",114,19.7,36,23.1,6.6,13,8,5,277.07,99,122.05
"2017UTSA",2017,"UTSA",-2.5,"Conference USA",117,18.7,34,22.5,6.3,11,6,5,291.62,75,151.48
"2017Fresno State",2017,"Fresno State",-2.7,"Mountain West",105,22.3,53,25.5,9.9,14,10,4,374.63,84,137.74
"2017SMU",2017,"SMU",-2.9,"American Athletic",25,35.4,110,37.4,6.7,13,7,6,492.63,80,140.4
"2017Utah State",2017,"Utah State",-3.3,"Mountain West",95,24.4,67,28,7.4,13,6,7,330.2,104,120
"2017Southern Miss",2017,"Southern Miss",-3.4,"Conference USA",92,24.9,70,28.3,6.9,13,8,5,394.24,74,152.71
"2017Marshall",2017,"Marshall",-4.5,"Conference USA",115,19.4,41,23.9,8.1,13,8,5,445.48,87,132.84
"2017Maryland",2017,"Maryland",-4.5,"Big Ten",80,26.7,70,28.3,3.1,12,4,8,696.21,18,230.17
"2017North Texas",2017,"North Texas",-4.5,"Conference USA",63,28.6,102,34.3,7.7,14,9,5,303.13,115,111.16
"2017Western Kentucky",2017,"Western Kentucky",-4.9,"Conference USA",87,25.5,83,30,4.8,13,6,7,332.17,82,138.03
"2017Middle Tennessee",2017,"Middle Tennessee",-4.9,"Conference USA",110,21.2,62,26.8,7.2,13,7,6,344.65,91,128.1
"2017Army",2017,"Army",-5.3,"FBS Independents",46,32.1,104,35,9.6,13,10,3,88.72,120,106.37
"2017Eastern Michigan",2017,"Eastern Michigan",-5.3,"Mid-American",106,22,60,26.4,5.5,12,5,7,292.11,123,100.97
"2017Louisiana Tech",2017,"Louisiana Tech",-5.5,"Conference USA",79,26.8,95,32.7,8.1,13,7,6,394.31,100,121.72
"2017Rutgers",2017,"Rutgers",-5.5,"Big Ten",101,23.3,77,29,3.1,12,4,8,574.78,42,189.01
"2017Tulane",2017,"Tulane",-5.7,"American Athletic",67,28.5,104,35,4.6,12,5,7,396.43,112,114.66
"2017Cincinnati",2017,"Cincinnati",-6.4,"American Athletic",101,23.3,68,28.2,4,12,4,8,500.95,63,167.8
"2017BYU",2017,"BYU",-7.4,"FBS Independents",118,18.6,56,25.8,4.1,13,4,9,574.09,66,167.37
"2017Illinois",2017,"Illinois",-7.4,"Big Ten",107,21.6,81,29.9,2.1,12,2,10,538.83,46,185.24
"2017Central Michigan",2017,"Central Michigan",-8.6,"Mid-American",109,21.4,68,28.2,6.7,13,8,5,387.2,93,127.4
"2017New Mexico State",2017,"New Mexico State",-9.4,"Sun Belt",94,24.5,94,32.6,6.5,13,7,6,233.47,129,94.57
"2017Massachusetts",2017,"Massachusetts",-9.7,"FBS Independents",97,24.1,91,31.9,4.7,12,4,8,367.59,110,115.82
"2017Bowling Green",2017,"Bowling Green",-10,"Mid-American",73,27.5,116,38.9,2.5,12,2,10,361.82,81,138.14
"2017Florida International",2017,"Florida International",-10.4,"Conference USA",99,24,104,35,7,13,8,5,334.18,83,137.75
"2017Tulsa",2017,"Tulsa",-10.7,"American Athletic",76,27.3,114,37.8,3.6,12,2,10,422.77,85,135.07
"2017Air Force",2017,"Air Force",-11,"Mountain West",59,28.8,121,40.5,4.4,12,5,7,21.1,109,115.88
"2017Buffalo",2017,"Buffalo",-11.2,"Mid-American",92,24.9,99,33.9,6.9,12,6,6,294.08,113,112.97
"2017South Alabama",2017,"South Alabama",-12,"Sun Belt",119,18.3,89,31.4,3.6,12,4,8,387.88,116,110.24
"2017New Mexico",2017,"New Mexico",-12.4,"Mountain West",112,20.8,101,34.2,4.7,12,3,9,344.64,118,109.85
"2017Oregon State",2017,"Oregon State",-12.6,"Pac-12",59,28.8,119,39.9,1.9,12,1,11,557.02,51,181.32
"2017UL Monroe",2017,"UL Monroe",-12.9,"Sun Belt",41,32.3,127,45.5,3.6,12,4,8,303.96,102,121.55
"2017East Carolina",2017,"East Carolina",-14,"American Athletic",77,27.2,125,41.8,3.1,12,3,9,471.1,79,144.55
"2017Georgia State",2017,"Georgia State",-14,"Sun Belt",121,17,74,28.6,5.9,12,7,5,364.16,105,119.23
"2017UNLV",2017,"UNLV",-14.5,"Mountain West",82,26.2,118,39.8,4.8,12,5,7,331.18,117,109.9
"2017Kansas",2017,"Kansas",-14.8,"Big 12",107,21.6,108,36.7,1.6,12,1,11,512.24,71,159.35
"2017Georgia Southern",2017,"Georgia Southern",-15.8,"Sun Belt",119,18.3,107,35.5,3.2,12,2,10,365.57,106,118.78
"2017Louisiana",2017,"Louisiana",-15.8,"Sun Belt",73,27.5,126,42.9,4.8,12,5,7,329.24,121,104.33
"2017Nevada",2017,"Nevada",-16.4,"Mountain West",85,25.6,124,41.1,4.5,12,3,9,341.11,95,125.03
"2017Old Dominion",2017,"Old Dominion",-16.8,"Conference USA",122,16.3,97,32.8,5.3,12,5,7,331.2,124,99.41
"2017Akron",2017,"Akron",-17.6,"Mid-American",97,24.1,117,39.6,5.3,14,7,7,337.11,131,88.91
"2017UConn",2017,"UConn",-19.2,"American Athletic",104,22.4,122,40.7,2.5,12,3,9,420.17,101,121.64
"2017Hawai'i",2017,"Hawai'i",-19.7,"Mountain West",101,23.3,120,40.4,3.9,12,3,9,330.56,86,133.96
"2017Ball State",2017,"Ball State",-19.7,"Mid-American",113,20.3,112,37.7,2.4,12,2,10,318.17,90,128.8
"2017San José State",2017,"San José State",-20,"Mountain West",123,15.2,111,37.5,2,13,2,11,378.56,98,122.11
"2017Kent State",2017,"Kent State",-20.2,"Mid-American",125,14.3,93,32.4,1.9,12,2,10,288.56,128,94.88
"2017Texas State",2017,"Texas State",-23.5,"Sun Belt",124,14.7,109,36.9,2.3,12,2,10,274.67,92,127.89
"2017Rice",2017,"Rice",-23.6,"Conference USA",116,19.2,123,40.9,1.5,12,1,11,345.79,122,101.12
"2017Charlotte",2017,"Charlotte",-26.1,"Conference USA",126,13.7,112,37.7,0.5,12,1,11,283.01,114,111.82
"2017UTEP",2017,"UTEP",-27.4,"Conference USA",127,12.8,115,38.7,0.9,12,0,12,264.42,133,85.51
"2018Alabama",2018,"Alabama",36.3,"SEC",2,50.9,7,14.2,13.5,15,14,1,978.54,5,289.94
"2018Georgia",2018,"Georgia",32.9,"SEC",3,45.9,7,14.2,11.6,14,11,3,964,1,323.31
"2018Clemson",2018,"Clemson",29.7,"ACC",5,43,3,12.6,13.9,15,15,0,893.21,7,283.67
"2018Oklahoma",2018,"Oklahoma",24.9,"Big 12",1,54,84,30,11.5,14,12,2,843.79,9,276.62
"2018LSU",2018,"LSU",24.2,"SEC",30,34.8,5,13.4,9.8,13,10,3,889.91,15,254.38
"2018Ohio State",2018,"Ohio State",24.1,"Big Ten",4,44.4,26,21.2,10.3,14,13,1,984.3,2,317.06
"2018Auburn",2018,"Auburn",23.6,"SEC",19,36.9,6,14.1,8.6,13,8,5,827.37,12,262.77
"2018Mississippi State",2018,"Mississippi State",23.2,"SEC",32,34.6,1,10.5,8.7,13,8,5,729.97,27,218.47
"2018Florida",2018,"Florida",23,"SEC",15,38.6,17,17.4,9.6,13,10,3,831.78,14,259.56
"2018Michigan",2018,"Michigan",22,"Big Ten",25,35.5,9,14.3,9.6,13,10,3,862.35,22,230.56
"2018Texas A&M",2018,"Texas A&M",21.6,"SEC",10,40.3,21,19.8,9.2,13,9,4,805.66,17,251.2
"2018Missouri",2018,"Missouri",20.8,"SEC",8,41.3,24,21,9.7,13,9,4,595.14,43,197.38
"2018Notre Dame",2018,"Notre Dame",20.7,"FBS Independents",32,34.6,10,14.5,10.5,13,12,1,847.85,10,268.86
"2018Washington",2018,"Washington",19.9,"Pac-12",34,34.5,4,12.7,11.2,14,10,4,772.88,16,253.23
"2018Penn State",2018,"Penn State",19,"Big Ten",35,33.9,11,14.6,10.6,13,9,4,834.24,6,285.92
"2018Fresno State",2018,"Fresno State",17.4,"Mountain West",37,33.5,12,15.5,11.9,14,12,2,459.07,92,141.73
"2018Utah",2018,"Utah",16.8,"Pac-12",45,31.9,19,18.1,9.2,14,9,5,594.6,33,209.95
"2018UCF",2018,"UCF",16.5,"American Athletic",11,39.9,47,25.2,10.8,13,12,1,568.35,62,177.05
"2018Wisconsin",2018,"Wisconsin",15.5,"Big Ten",12,39.3,29,21.6,8.1,13,8,5,653.5,45,195.04
"2018South Carolina",2018,"South Carolina",14.9,"SEC",21,36.4,40,23.6,5.6,13,7,6,749.98,18,242.04
"2018Utah State",2018,"Utah State",14.2,"Mountain West",22,36.3,34,22.5,10.1,13,11,2,377.39,109,123.61
"2018Oklahoma State",2018,"Oklahoma State",13.8,"Big 12",7,42,71,28.9,8.5,13,7,6,645.01,34,209.93
"2018Iowa",2018,"Iowa",13.3,"Big Ten",54,30.3,18,17.7,8.6,13,9,4,615.08,39,203.34
"2018West Virginia",2018,"West Virginia",13.2,"Big 12",9,41.1,76,29.2,7.4,12,8,4,646.91,35,208.32
"2018Kentucky",2018,"Kentucky",13.1,"SEC",63,29.5,15,16.3,7.6,13,9,4,670.27,37,206.91
"2018Stanford",2018,"Stanford",13,"Pac-12",26,35.4,43,24.3,7.4,13,9,4,786.63,40,202.29
"2018Miami",2018,"Miami",12.7,"ACC",66,29.3,14,15.8,8.2,13,7,6,753.72,8,280.87
"2018Boise State",2018,"Boise State",12.2,"Mountain West",18,37.1,37,22.8,8.8,13,10,3,543.43,57,183.46
"2018App State",2018,"App State",11.9,"Sun Belt",56,30,20,19,10.9,13,11,2,356.16,113,120.2
"2018Michigan State",2018,"Michigan State",11.5,"Big Ten",111,22,2,10.8,7.2,13,7,6,658.85,31,212.21
"2018Texas",2018,"Texas",11.3,"Big 12",27,35.3,44,24.4,9.3,14,10,4,861.2,3,300.06
"2018Washington State",2018,"Washington State",11.3,"Pac-12",13,38.8,59,27.3,9.9,13,11,2,554.77,46,194.84
"2018Ole Miss",2018,"Ole Miss",9.8,"SEC",6,42.1,90,31.2,6.5,12,5,7,734,32,211.49
"2018USC",2018,"USC",9.7,"Pac-12",46,31.7,34,22.5,6.4,12,5,7,933.65,4,291.2
"2018NC State",2018,"NC State",9.4,"ACC",29,35.1,54,26.7,8.7,13,9,4,629.39,26,220.57
"2018Memphis",2018,"Memphis",9.2,"American Athletic",13,38.8,87,30.5,9.1,14,8,6,480.07,81,157.28
"2018Texas Tech",2018,"Texas Tech",8.7,"Big 12",23,36.2,80,29.8,4.8,12,5,7,561.59,72,169.87
"2018Iowa State",2018,"Iowa State",7.9,"Big 12",57,29.9,28,21.5,8.4,13,8,5,575.76,55,185.19
"2018Vanderbilt",2018,"Vanderbilt",7.6,"SEC",24,35.6,57,27.1,5.6,13,6,7,611.99,41,202.04
"2018Syracuse",2018,"Syracuse",7.5,"ACC",44,32.1,60,27.4,10.5,13,10,3,570.2,51,189.14
"2018Oregon",2018,"Oregon",7.3,"Pac-12",31,34.7,50,25.8,7.5,13,9,4,695.81,13,260.22
"2018Virginia",2018,"Virginia",7.1,"ACC",61,29.7,31,22,9.4,13,8,5,542.4,59,178.6
"2018TCU",2018,"TCU",6.9,"Big 12",91,25.7,16,16.9,5.6,13,7,6,671.88,25,224.13
"2018Purdue",2018,"Purdue",6.5,"Big Ten",17,37.2,88,30.8,6.8,13,6,7,520.48,52,188.31
"2018Minnesota",2018,"Minnesota",6.3,"Big Ten",75,28.2,37,22.8,7.1,13,7,6,588.97,38,206.66
"2018BYU",2018,"BYU",6.2,"FBS Independents",72,28.9,33,22.3,8.3,13,7,6,565.85,78,160.52
"2018San Diego State",2018,"San Diego State",6,"Mountain West",92,25.6,24,21,7.1,13,7,6,472.6,79,159.56
"2018Tennessee",2018,"Tennessee",5.5,"SEC",38,33.4,71,28.9,4.4,12,5,7,826.98,21,231.34
"2018Nebraska",2018,"Nebraska",5.4,"Big Ten",42,32.7,55,26.9,6.8,12,4,8,711.22,23,227.95
"2018Cincinnati",2018,"Cincinnati",5.4,"American Athletic",74,28.3,36,22.6,10.3,13,11,2,543.78,48,192.64
"2018Arizona State",2018,"Arizona State",5,"Pac-12",35,33.9,86,30.4,5.6,13,7,6,687.72,36,207.26
"2018Duke",2018,"Duke",5,"ACC",52,30.5,46,25,7.4,13,8,5,635.63,63,176.85
"2018Arkansas",2018,"Arkansas",4.5,"SEC",61,29.7,49,25.7,3.2,12,2,10,694.63,49,192.11
"2018Ohio",2018,"Ohio",4,"Mid-American",16,38.2,107,35,8.7,13,9,4,346.18,121,110.94
"2018California",2018,"California",3.9,"Pac-12",118,18.3,13,15.6,6.3,13,7,6,596.08,42,197.41
"2018Virginia Tech",2018,"Virginia Tech",3.9,"ACC",41,32.8,77,29.4,4.6,13,6,7,675.71,24,226.01
"2018Wake Forest",2018,"Wake Forest",3.6,"ACC",48,31.2,64,28.1,6.6,13,7,6,525.48,64,176.31
"2018Arizona",2018,"Arizona",3.6,"Pac-12",43,32.3,73,29,6.4,12,5,7,580.54,61,178.03
"2018Maryland",2018,"Maryland",3,"Big Ten",80,27.6,51,25.9,6,12,5,7,725.94,28,218.34
"2018Temple",2018,"Temple",2.9,"American Athletic",76,28.1,42,23.9,7.2,13,8,5,478.3,83,155.39
"2018Pittsburgh",2018,"Pittsburgh",2.7,"ACC",71,29,53,26.6,6.4,14,7,7,637.96,47,193.19
"2018Troy",2018,"Troy",2.6,"Sun Belt",89,26.4,48,25.6,8.6,13,10,3,352.36,98,136.65
"2018Boston College",2018,"Boston College",2.4,"ACC",87,26.5,32,22.1,7.5,12,7,5,533.43,71,172.47
"2018Houston",2018,"Houston",2.3,"American Athletic",20,36.7,106,34.9,7.9,13,8,5,577.17,73,166.86
"2018North Texas",2018,"North Texas",2.1,"Conference USA",67,29.2,78,29.5,9.2,13,9,4,368.58,101,127.14
"2018Baylor",2018,"Baylor",2,"Big 12",39,33.1,85,30.3,6.9,13,7,6,668.37,29,215.02
"2018Toledo",2018,"Toledo",2,"Mid-American",28,35.2,102,34.4,7,13,7,6,463.96,67,174
"2018Northwestern",2018,"Northwestern",1.9,"Big Ten",93,25.5,29,21.6,8.3,14,9,5,608.89,58,180.18
"2018Wyoming",2018,"Wyoming",1.9,"Mountain West",95,25.1,41,23.7,6.2,12,6,6,348.34,126,109.14
"2018Indiana",2018,"Indiana",1.6,"Big Ten",55,30.2,75,29.1,5,12,5,7,564.04,50,190.77
"2018Florida State",2018,"Florida State",1.4,"ACC",97,25,37,22.8,4,12,5,7,888.75,11,265.42
"2018Arkansas State",2018,"Arkansas State",1.2,"Sun Belt",57,29.9,62,27.9,8.7,13,8,5,433.73,88,148.03
"2018Marshall",2018,"Marshall",1,"Conference USA",111,22,22,20.5,8.5,13,9,4,451.61,74,165.85
"2018Georgia Tech",2018,"Georgia Tech",0.3,"ACC",40,33,100,33.9,6.8,13,7,6,583.49,44,196.94
"2018UCLA",2018,"UCLA",-0.4,"Pac-12",50,30.7,97,32.4,4,12,3,9,754.31,19,237.77
"2018Kansas State",2018,"Kansas State",-0.5,"Big 12",84,27.2,61,27.5,5.6,12,5,7,547.43,66,175.65
"2018Nevada",2018,"Nevada",-0.5,"Mountain West",82,27.5,63,28,6.5,13,8,5,432.4,82,155.96
"2018Miami (OH)",2018,"Miami (OH)",-0.7,"Mid-American",90,26.2,66,28.4,6.1,12,6,6,421.22,130,103.16
